Method,RF_Normal,std_1,RF_Cheap,std_2,NN_Normal,std_3,NN_Cheap,std_4
Original,0,0,0,0,0,0,0,0
MSE_threshold,-1,-1,-1,-1,-1,-1,-1,-1
MW,0,0,0,0,43.89934571,40.32247532,75.41448094,61.11679152
MWthenTW,-1,-1,-1,-1,-1,-1,-1,-1
Noise,0,0,0,0,60.86568061,81.40041007,94.09967283,98.60113532
RD,0.682557131,77.10641313,0,0,60.24829821,75.86633029,95.80676643,99.69089779
TW,0,0,0,0,41.60507289,4.76742541,92.82533589,91.76428973
TWthenNoise,-1,-1,-1,-1,-1,-1,-1,-1
WW,11.93191673,0,0,0,33.80140521,50.57458941,69.40824854,6.140034868
WWthenNoise,-1,-1,-1,-1,-1,-1,-1,-1
